Contents,,,,,,,,,,,,,,,,,,,,,,
Table 1a,,,,,,,,,,,,,,,,,,,,,,
"Official reported estimates of the percentage of the population testing positive for COVID-19, England",,,,,,,,,,,,,,,,,,,,,,
27 April 2020 to 19 March 2022,,,,,,,,,,,,,,,,,,,,,,
Time period,Estimated average % of the population testing positive for COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval, Estimated average number of people testing positive for COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Estimated average ratio of the population testing positive for COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,,,,,,,,,,,,,
Fortnightly weighted estimates,,,,,,,,,,,,,,,,,,,,,,
17 January 2021 to 23 January 2021,1.87,1.79,1.95,"1,018,700","976,200","1,061,600",1 in 55,1 in 55,1 in 50,,,,,,,,,,,,,
24 January 2021 to 30 January 2021,1.55,1.48,1.63,"846,900","806,500","886,700",1 in 65,1 in 70,1 in 60,,,,,,,,,,,,,
31 January 2021 to 06 February 2021,1.28,1.21,1.34,"695,400","660,200","732,200",1 in 80,1 in 85,1 in 75,,,,,,,,,,,,,
06 February 2021 to 12 February 2021,0.88,0.83,0.94,"481,300","451,600","512,400",1 in 110,1 in 120,1 in 110,,,,,,,,,,,,,
13 February 2021 to 19 February 2021,0.69,0.64,0.74,"373,700","346,400","401,300",1 in 150,1 in 160,1 in 140,,,,,,,,,,,,,
21 February 2021 to 27 February 2021,0.45,0.41,0.50,"248,100","224,900","271,700",1 in 220,1 in 240,1 in 200,,,,,,,,,,,,,
28 February 2021 to 06 March 2021,0.37,0.33,0.41,"200,600","180,200","222,900",1 in 270,1 in 300,1 in 240,,,,,,,,,,,,,
07 March 2021 to 13 March 2021,0.29,0.26,0.33,"160,200","142,000","179,400",1 in 340,1 in 380,1 in 300,,,,,,,,,,,,,
14 March 2021 to 20 March 2021,0.30,0.26,0.34,"162,500","143,200","183,100",1 in 340,1 in 380,1 in 300,,,,,,,,,,,,,
21 March 2021 to 27 March 2021,0.27,0.24,0.31,"148,100","129,700","167,400",1 in 370,1 in 420,1 in 330,,,,,,,,,,,,,
28 March 2021 to 03 April 2021,0.30,0.26,0.34,"161,900","142,000","183,200",1 in 340,1 in 380,1 in 300,,,,,,,,,,,,,
04 April 2021 to 10 April 2021,0.21,0.18,0.24,"112,600","96,700","130,100",1 in 480,1 in 560,1 in 420,,,,,,,,,,,,,
10 April 2021 to 16 April 2021,0.17,0.14,0.19,"90,000","75,900","105,700",1 in 610,1 in 720,1 in 520,,,,,,,,,,,,,
18 April 2021 to 24 April 2021,0.10,0.08,0.12,"54,200","43,700","66,100","1 in 1,000","1 in 1,200",1 in 820,,,,,,,,,,,,,
26 April 2021 to 02 May 2021,0.08,0.07,0.10,"46,100","36,300","56,900","1 in 1,200","1 in 1,500",1 in 960,,,,,,,,,,,,,
02 May 2021 to 08 May 2021,0.07,0.06,0.09,"40,800","31,900","50,900","1 in 1,300","1 in 1,700","1 in 1,100",,,,,,,,,,,,,
09 May 2021 to 15 May 2021,0.09,0.07,0.11,"49,000","38,800","60,300","1 in 1,100","1 in 1,400",1 in 900,,,,,,,,,,,,,
16 May 2021 to 22 May 2021,0.09,0.07,0.11,"48,500","38,400","60,200","1 in 1,100","1 in 1,400",1 in 910,,,,,,,,,,,,,
23 May 2021 to 29 May 2021,0.16,0.13,0.19,"85,600","71,900","100,900",1 in 640,1 in 760,1 in 540,,,,,,,,,,,,,
30 May 2021 to 05 June 2021,0.18,0.15,0.21,"96,800","80,500","114,400",1 in 560,1 in 680,1 in 480,,,,,,,,,,,,,
06 June 2021 to 12 June 2021,0.19,0.16,0.23,"105,000","88,500","124,000",1 in 520,1 in 620,1 in 440,,,,,,,,,,,,,
13 June 2021 to 19 June 2021,0.22,0.19,0.26,"122,500","103,900","142,500",1 in 440,1 in 520,1 in 380,,,,,,,,,,,,,
20 June 2021 to 26 June 2021,0.39,0.34,0.44,"211,100","185,200","239,300",1 in 260,1 in 290,1 in 230,,,,,,,,,,,,,
27 June 2021 to 03 July 2021,0.61,0.54,0.68,"332,900","296,700","368,700",1 in 160,1 in 180,1 in 150,,,,,,,,,,,,,
04 July 2021 to 10 July 2021,1.06,0.98,1.15,"577,700","532,700","625,300",1 in 95,1 in 100,1 in 85,,,,,,,,,,,,,
11 July 2021 to 17 July 2021,1.36,1.26,1.46,"741,700","689,600","797,800",1 in 75,1 in 80,1 in 70,,,,,,,,,,,,,
18 July 2021 to 24 July 2021,1.57,1.46,1.68,"856,200","798,600","915,000",1 in 65,1 in 70,1 in 60,,,,,,,,,,,,,
25 July 2021 to 31 July 2021,1.32,1.23,1.42,"722,300","671,800","775,900",1 in 75,1 in 80,1 in 70,,,,,,,,,,,,,
31 July 2021 to 06 August 2021,1.33,1.25,1.43,"726,700","679,300","777,800",1 in 75,1 in 80,1 in 70,,,,,,,,,,,,,
08 August 2021 to 14 August 2021,1.28,1.19,1.37,"698,100","648,800","747,700",1 in 80,1 in 85,1 in 75,,,,,,,,,,,,,
14 August 2021 to 20 August 2021,1.39,1.30,1.48,"756,900","710,100","806,200",1 in 70,1 in 75,1 in 70,,,,,,,,,,,,,
21 August 2021 to 27 August 2021,1.41,1.31,1.51,"766,100","714,400","821,800",1 in 70,1 in 75,1 in 65,,,,,,,,,,,,,
28 August 2021 to 03 September 2021,1.38,1.29,1.48,"754,600","704,000","808,800",1 in 70,1 in 75,1 in 65,,,,,,,,,,,,,
05 September 2021 to 11 September 2021,1.28,1.19,1.36,"697,100","650,600","743,800",1 in 80,1 in 85,1 in 75,,,,,,,,,,,,,
12 September 2021 to 18 September 2021,1.14,1.06,1.22,"620,100","577,100","663,900",1 in 90,1 in 95,1 in 80,,,,,,,,,,,,,
19 September 2021 to 25 September 2021,1.21,1.13,1.28,"658,800","617,900","700,600",1 in 85,1 in 90,1 in 80,,,,,,,,,,,,,
26 September 2021 to 02 October 2021,1.44,1.35,1.53,"786,300","737,600","835,300",1 in 70,1 in 75,1 in 65,,,,,,,,,,,,,
03 October 2021 to 09 October 2021,1.63,1.54,1.73,"890,000","839,700","941,300",1 in 60,1 in 65,1 in 60,,,,,,,,,,,,,
10 October 2021 to 16 October 2021,1.79,1.70,1.89,"977,900","926,600","1,028,800",1 in 55,1 in 60,1 in 55,,,,,,,,,,,,,
16 October 2021 to 22 October 2021,2.02,1.91,2.13,"1,102,800","1,043,900","1,161,200",1 in 50,1 in 50,1 in 45,,,,,,,,,,,,,
24 October 2021 to 30 October 2021,2.02,1.91,2.13,"1,103,300","1,042,700","1,163,400",1 in 50,1 in 50,1 in 45,,,,,,,,,,,,,
31 October 2021 to 06 November 2021,1.70,1.61,1.79,"925,400","875,200","975,100",1 in 60,1 in 60,1 in 55,,,,,,,,,,,,,
07 November 2021 to 13 November 2021,1.51,1.42,1.60,"824,900","775,500","873,700",1 in 65,1 in 70,1 in 60,,,,,,,,,,,,,
14 November 2021 to 20 November 2021,1.58,1.49,1.67,"862,300","813,800","913,300",1 in 65,1 in 65,1 in 60,,,,,,,,,,,,,
21 November 2021 to 27 November 2021,1.65,1.55,1.75,"898,900","847,500","951,500",1 in 60,1 in 65,1 in 55,,,,,,,,,,,,,
25 November 2021 to 01 December 2021,1.64,1.54,1.73,"891,500","842,000","941,200",1 in 60,1 in 65,1 in 60,,,,,,,,,,,,,
05 December 2021 to 11 December 2021,1.72,1.62,1.81,"936,000","883,900","989,100",1 in 60,1 in 60,1 in 55,,,,,,,,,,,,,
10 December 2021 to 16 December 2021,2.21,2.10,2.32,"1,202,300","1,146,800","1,263,000",1 in 45,1 in 50,1 in 45,,,,,,,,,,,,,
13 December 2021 to 19 December 2021,2.83,2.71,2.96,"1,544,600","1,477,900","1,615,800",1 in 35,1 in 35,1 in 35,,,,,,,,,,,,,
17 December 2021 to 23 December 2021,3.71,3.58,3.84,"2,024,700","1,951,200","2,096,300",1 in 25,1 in 30,1 in 25,,,,,,,,,,,,,
25 December 2021 to 31 December 2021,6.00,5.80,6.19,"3,270,800","3,163,500","3,377,500",1 in 17,1 in 17,1 in 16,,,,,,,,,,,,,
31 December 2021 to 06 January 2022,6.85,6.65,7.06,"3,735,000","3,624,800","3,848,700",1 in 15,1 in 15,1 in 14,,,,,,,,,,,,,
09 January 2022 to 15 January 2022,5.47,5.29,5.64,"2,984,200","2,886,900","3,077,300",1 in 18,1 in 19,1 in 18,,,,,,,,,,,,,
16 January 2022 to 22 January 2022,4.82,4.66,4.98,"2,629,400","2,542,500","2,716,500",1 in 20,1 in 20,1 in 20,,,,,,,,,,,,,
23 January 2022 to 29 January 2022,4.83,4.67,5.00,"2,633,100","2,544,100","2,725,100",1 in 20,1 in 20,1 in 20,,,,,,,,,,,,,
30 January 2022 to 05 February 2022,5.18,5.03,5.34,"2,824,700","2,740,300","2,910,300",1 in 19,1 in 20,1 in 19,,,,,,,,,,,,,
06 February 2022 to 12 February 2022,4.49,4.34,4.64,"2,449,100","2,368,200","2,532,600",1 in 20,1 in 25,1 in 20,,,,,,,,,,,,,
13 February 2022 to 19 February 2022,3.84,3.70,3.99,"2,096,200","2,015,100","2,175,600",1 in 25,1 in 25,1 in 25,,,,,,,,,,,,,
20 February 2022 to 26 February 2022,3.55,3.41,3.65,"1,933,500","1,861,700","1,992,300",1 in 30,1 in 30,1 in 25,,,,,,,,,,,,,
27 February 2022 to 05 March 2022,3.80,3.65,3.95,"2,073,900","1,992,700","2,155,900",1 in 25,1 in 25,1 in 25,,,,,,,,,,,,,
06 March 2022 to 12 March 2022,4.87,4.72,5.02,"2,653,200","2,571,500","2,739,700",1 in 20,1 in 20,1 in 20,,,,,,,,,,,,,
13 March 2022 to 19 March 2022,6.39,6.21,6.58,"3,485,700","3,387,500","3,585,800",1 in 16,1 in 16,1 in 15,,,,,,,,,,,,,
Source: Office for National Statistics – Coronavirus (COVID-19) Infection Survey,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,
"1. Due to the timeliness of the data received from the laboratories and occurrence of public holidays there are gaps and overlaps between some of our official estimates, this does not impact the comparability of these estimates.",,,,,,,,,,,,,,,,,,,,,,
2. The rounding applied to ratios may result in credible intervals which appear to be similar to the estimate.,,,,,,,,,,,,,,,,,,,,,,
3. Official reported estimates are plotted at a reference point believed to be most representative of the given week. This can vary due to  timeliness of data received from the laboratories and the occurrence of public holidays.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
